on_off,id,date_submitted,last_page,language,date_started,date_last_act,irm11_short,irm12_short,irm21_short,irm31_short,irm32_short,irm33_short,irm34_short,irm35_short,irm36_short,irm37_short,irm41_short,irm42_short,irm51_short,irm52_short,irm53_short,utility_code,utility_type,country_id,region
online,147,NA,5,en,2024-07-31,2024-07-31,1,2,2,4,4,3,3,4,2,4,4,4,5,4,2,NA,NA,NA,UNKNOWN
online,150,NA,5,en,2024-08-13,2024-08-13,2,3,2,3,3,3,3,3,1,2,1,2,5,3,5,NA,NA,NA,UNKNOWN
online,151,NA,3,en,2024-08-19,2024-08-19,3,2,3,3,3,3,4,5,1,3,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN
online,152,2024-09-05,6,en,2024-09-05,2024-09-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,public,84,Eastern and Southern Africa
online,158,NA,5,en,2024-09-16,2024-09-16,1,2,3,2,1,3,2,2,2,3,2,2,2,2,3,NA,NA,NA,UNKNOWN
online,161,NA,2,en,2024-10-01,2024-10-01,5,5,5,5,5,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN
online,169,NA,5,en,2024-11-02,2024-11-02,3,3,2,2,1,5,3,3,2,5,2,2,2,2,2,NA,NA,NA,UNKNOWN
online,171,2024-11-12,6,en,2024-11-12,2024-11-12,2,2,2,1,1,2,2,2,2,5,2,1,2,4,4,16,public,252,Eastern and Southern Africa
online,174,NA,5,en,2024-12-05,2024-12-05,4,3,3,3,4,2,4,3,2,4,5,2,5,3,2,NA,NA,NA,UNKNOWN
online,175,NA,5,en,2024-12-05,2024-12-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,UNKNOWN
online,179,2025-01-30,6,en,2025-01-30,2025-01-30,2,2,2,1,1,4,4,2,4,5,2,1,2,1,4,17,public,184,Middle East and North Africa
online,180,NA,4,en,2025-01-30,2025-01-30,2,2,2,4,4,3,5,1,5,3,4,3,NA,NA,NA,NA,NA,NA,UNKNOWN
online,181,2025-02-03,6,en,2025-02-03,2025-02-03,5,3,3,5,3,5,3,5,3,5,3,3,3,3,5,18,public,45,Eastern and Southern Africa
online,182,NA,5,en,2025-02-20,2025-02-20,2,3,3,3,1,1,1,3,3,3,2,3,3,3,3,NA,NA,NA,UNKNOWN
online,185,NA,5,en,2025-03-12,2025-03-12,2,2,4,4,2,4,4,4,4,4,4,4,4,2,4,NA,NA,NA,UNKNOWN
online,192,NA,3,en,2025-04-10,2025-04-10,3,4,4,3,3,4,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN
online,195,2025-04-23,6,es,2025-04-23,2025-04-23,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,public,50,Latin America and Caribbean
online,196,NA,2,es,2025-04-24,2025-04-24,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN
online,199,NA,4,en,2025-06-09,2025-06-09,4,3,5,5,5,5,5,5,5,4,5,5,NA,NA,NA,NA,NA,NA,UNKNOWN
online,202,NA,2,en,2025-07-17,2025-07-17,3,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN
online,206,NA,2,en,2025-09-08,2025-09-08,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN
online,207,NA,5,en,2025-09-09,2025-09-09,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,UNKNOWN
offline,208,2025-08-15,6,en,NA,NA,3,3,2,1,1,3,3,3,3,2,3,2,2,1,3,20,public,240,South Asia
offline,209,2024-01-15,6,en,NA,NA,5,3,3,1,1,3,4,3,2,4,4,3,2,2,3,20,public,240,South Asia
offline,210,2018-01-15,6,en,NA,NA,3,3,1,1,1,5,4,4,2,4,3,3,1,1,4,21,public,240,South Asia
offline,211,2024-02-01,6,en,NA,NA,3,4,2,1,1,5,4,4,4,4,4,4,3,1,5,21,public,240,South Asia
offline,212,2024-07-08,6,en,NA,NA,3,3,3,1,1,4,1,2,2,3,1,1,3,2,3,22,public,252,Eastern and Southern Africa
offline,213,2024-05-07,6,en,NA,NA,4,4,4,3,2,4,4,5,4,4,5,4,4,4,4,5,public,252,Eastern and Southern Africa
offline - old 1,214,2023-10-18,6,en,NA,NA,4,3,3,2,3,4,2,4,3,4,4,2,3,NA,4,23,public,240,South Asia
offline - old 2,215,2021-08-05,6,es,NA,NA,5,5,5,3,5,5,4,5,3,2,4,3,5,3,5,24,public,122,Latin America and Caribbean
offline - old2,216,2020-11-15,6,es,NA,NA,2,5,5,1,2,2,4,3,5,4,2,4,1,1,5,25,public,149,Latin America and Caribbean
offline - old2,217,2020-08-15,6,es,NA,NA,1,1,5,4,2,3,5,3,5,5,2,5,3,1,5,26,public,50,Latin America and Caribbean
offline - old2,218,2020-08-10,6,es,NA,NA,1,1,3,3,2,3,4,3,5,4,2,5,1,1,5,27,public,50,Latin America and Caribbean
offline - old2,219,2021-05-21,6,es,NA,NA,1,1,1,3,2,2,4,2,3,5,2,2,1,1,5,28,public,50,Latin America and Caribbean
offline,220,2024-07-03,6,en,NA,NA,2,3,2,2,1,1,4,2,2,3,3,3,2,2,NA,29,public,240,South Asia
